id	name
Q4419854	síntoma de dupré
Q989365	pérdida de memoria
Q21118859	irritación nasal
Q2141836	quemadura química
Q2466723	goma granulomatosa
Q21119347	irritación bucal
Q2359404	caída en ancianos
Q3321079	tríada de charcot
Q2530864	síntoma de abadie
Q20708204	signo de lockwood
Q29642554	hipotonía facial
Q2361468	pseudoalucinación
Q594660	disección aórtica
Q8351565	creciente miópico
Q684277	fenómeno de tullio
Q992274	signo de brudzinski
Q913912	signo de von graefe
Q1149382	lesión de janeway
Q767485	fallo respiratorio
Q270421	debilidad muscular
Q6508875	mancha de la hoja
Q2460147	visión en túnel
Q841878	rigidez de la nuca
Q21504918	rigidez muscular
Q21110145	ceguera temporal
Q21128616	dolor localizado
Q21402561	colapso vascular
Q1338684	cefalea tensional
Q1644260	desorden auditivo
Q7989549	signo de westphal
Q21119047	estrés cardiaco
Q21120264	dolor precordial
Q21120255	tos paroxística
Q21112456	daño miocardial
Q336216	defensa peritoneal
Q1090174	signo de chvostek
Q3774744	paro respiratorio
Q3773831	signo de duroziez
Q21117411	cambio hepático
Q2707302	manchas de koplik
Q1142879	reflejo faríngeo
Q2550477	pulso paradójico
Q558165	ventosidad vaginal
Q845971	signo de dalrymple
Q114085	congestión nasal
Q3508755	síndrome gripal
Q557945	confusión mental
Q5428572	debilidad facial
Q3705665	despigmentación
Q21402634	microhemorragia
Q944142	ideación suicida
Q3245488	congestion nasal
Q5000947	línea de burton
Q245639	cilindro urinario
Q3144191	hiperproteinemia
Q5044018	signo de carnett
Q7258310	signo del charco
Q2944236	fotosensibilidad
Q3066331	manchas de bitot
Q255605	signo de blumberg
Q9296830	signo de romaña
Q475918	pulso de corrigan
Q4375	broncoconstricción
Q1469832	signo de froment
Q2003715	signo de rovsing
Q2086658	complejo de ghon
Q25409716	signo de popeye
Q114085	congestion nasal
Q188008	falta de aliento
Q3539327	pterigium colli
Q4930803	visión borrosa
Q21111985	palidez facial
Q1433921	cuerpo de heinz
Q31834051	reflujo ácido
Q574360	espasmo muscular
Q21109826	espasmo facial
Q21117872	dolor profundo
Q2042809	signo del psoas
Q3280552	hedor hepático
Q622427	ptosis palpebral
Q1060911	soplo cardíaco
Q1640780	hipoalbuminemia
Q6933857	signo de mulder
Q7370380	manchas de roth
Q3043006	descerebración
Q5315647	signo de dunphy
Q3557657	ansiedad social
Q3403879	aumento de peso
Q244913	sangrado vaginal
Q1036403	hipoproteinemia
Q1953811	signo de murphy
Q3622301	tríada de beck
Q277606	nódulo de lisch
Q1424050	esclerodactilia
Q2742923	signo de musset
Q114085	fiebre del heno
Q2051704	recuerdo falso
Q180762	angina de pecho
Q3537764	transpiración
Q693058	dolor torácico
Q21120220	garganta seca
Q1755849	eritema palmar
Q183425	dolor abdominal
Q1324592	laringoespasmo
Q631556	signo de kernig
Q1623043	signo de tinel
Q1981783	patognomónico
Q339054	signo de seidel
Q1088113	dolor crónico
Q304669	signo de abadie
Q1391634	facies leonina
Q4661777	signo de aaron
Q1378430	signo de hegar
Q573000	signo de hamman
Q810978	signo de battle
Q833507	signo de cullen
Q1269330	desproteinemia
Q1459899	signo de prehn
Q53829	nódulo tiroideo
Q3443277	ruborización
Q3589142	epigastralgia
Q1433654	virilización
Q21110084	orina oscura
Q21119928	edema facial
Q21120241	gusto amargo
Q1362864	hepatomegalia
Q58145981	apragmatismo
Q1429154	hiperreflexia
Q7967199	deambulación
Q420915	acroparestesia
Q2723947	somatización
Q21077147	dolor ocular
Q6048048	obnubilación
Q718113	adelgazamiento
Q7502090	estatura baja
Q602709	signo de crowe
Q2888709	claudicación
Q1516325	nodo de osler
Q4675039	necrosis acra
Q1419356	hiporreflexia
Q1622541	estatura alta
Q653197	eflorescencia
Q1975146	embotamiento
Q1198115	estereotipia
Q1363741	eritrodermia
Q1549918	impulsividad
Q21908909	voz apagada
Q382255	afectabilidad
Q1756015	opistótonos
Q3176479	hiperpirexia
Q21109757	piel bronce
Q21117327	indecisión
Q2923519	bradipsiquia
Q1638131	hiperestesia
Q897134	bradiquinesia
Q285115	organomegalia
Q1723395	camptocormia
Q4243302	xantocromía
Q6531780	leucocituria
Q3501949	taquipsiquia
Q1642049	rectorragia
Q2163996	fasciación
Q1162276	xerostomía
Q1570161	hematemesis
Q101991	inflamación
Q1642611	negativismo
Q3563063	tos vómica
Q1641350	hipocinesia
Q2849606	vasoespasmo
Q86	dolor de cabeza
Q160184	flatulencia
Q209583	taquicardia
Q18054140	lipotimia
Q21118175	inquietud
Q852376	convulsión
Q1758945	eritropsia
Q622527	autolesión
Q1781127	borborigmo
Q1413614	meteorismo
Q2455868	odinofagia
Q120395	dispareunia
Q2729863	hostilidad
Q570197	proteinuria
Q568378	emaciación
Q1036696	hipotermia
Q1753547	hipotonía
Q615759	hipercapnia
Q3884247	opsoclonia
Q749881	pleocitosis
Q1328215	hipocapnia
Q474914	estranguria
Q946041	hemibalismo
Q1340669	acropaquia
Q2036597	oscilopsia
Q194290	exesodeagua
Q647099	hemoptisis
Q485831	linfopenia
Q188611	hipomanía
Q1938569	flashback
Q2117286	pre-labor
Q1739905	cetonuria
Q1503965	hipomimia
Q684383	exoftalmia
Q3357696	otorragia
Q470427	ametropía
Q1128283	midriasis
Q6048309	obsesión
Q3740640	fecaluria
Q1426443	nicturia
Q581349	serositis
Q2673323	malestar
Q948806	hiperemia
Q1277793	miotonia
Q570920	taquipnea
Q2610154	ojo rojo
Q748444	asterixis
Q517183	dismetria
Q5104989	corditis
Q246147	citopenia
Q418527	aquinesia
Q281289	fotofobia
Q169872	síntoma
Q116275	mioclono
Q35830	estornudo
Q192120	cianosis
Q623289	disfagia
Q718263	logorrea
Q290620	disforia
Q1166142	eritema
Q180007	síncope
Q2336398	palidez
Q605709	fibrosis
Q5445966	fetidez
Q5066886	chagoma
Q961326	oliguria
Q380203	adinamia
Q35805	tosigoso
Q35805	tosegoso
Q114085	rinitis
Q474959	mialgia
Q9690	cansancio
Q40878	churrias
Q127076	vómito
Q223907	temblor
Q498916	apraxia
Q1858291	sofoco
Q220322	agnosia
Q10916362	mareo
Q193889	ascitis
Q186889	náusea
Q537297	pirosis
Q1163908	melena
Q7316656	arcada
Q511818	tetania
Q5380065	ensure
Q2722991	bubón
Q1424895	clonus
Q40878	diarrea
Q188008	disnea
Q213373	ataxia
Q209789	eructo
Q3491504	soplo
Q1552457	sopor
Q596899	miosis
Q38933	fiebre
Q2293277	tofo
Q152234	edema
Q344873	sdra
Q5445	anemia
Q372236	aura
Q2836	afasia
Q739481	aura
Q81938	dolor
Q35805	tose
Q86	cefalea
Q738538	tic
Q35805	tos
